donor,announcement_date,aid_type_general,aid_type_specific,explanation,item,item_type,item_sub_type,source_reported_value,tot_activity_value_EUR,item_value_estimate_USD
Australia,2022-03-01,Humanitarian,Equipment,"Australia has committed immediate humanitarian assistance of an initial 35 million AUD to help meeting the urgent needs of the Ukrainian people. This assistance will deliver lifesaving services and supplies, including the provision of shelter, food, medical care and water.",.,.,.,35000000.0,23417160.0,
Australia,2022-03-20,Humanitarian,Equipment,"A shipment of 70,000 tons of thermal coal has been provided. Source of Aid 4 lists the value as 32.6 million AUD. We convert the AUD price to USD for a price value per ton of coal estimation. ",ton of coal,Humanitarian,Humanitarian,32600000.0,21811412.0,23030000.0
Australia,2022-03-20,Humanitarian,Assistance,"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. From the entire package, AUD 10 million are devoted to the World Food Program, which we previously did not consider. Now we report it under. We equally did not consider AUD 8 million to the UN Population fund, which we reported below. Hence, we report the donation value as AUD 12 million. Source of Aid 3 mentions AUD 65 million in humanitarian aid. Since we do not count AUD 18 million in this packet, we arrive at a total of AUD 47 million in humanitarian aid that Australia has provided. ",.,.,.,12000000.0,8028741.0,
Australia,2022-03-20,Humanitarian,Contribution,"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. From the entire package, AUD 10 million are devoted to the World Food Program, which we report here.",.,.,.,10000000.0,6690617.0,
Australia,2022-03-20,Humanitarian,Contribution,"The Australian government announced 30 million AUD to Ukraine in emergency humanitarian aid. This aid package is intended to provide emergency help for women, children, elderly and disabled. We report here the AUD 8 million to the UN Population fund. ",.,.,.,8000000.0,5352494.0,
Australia,2022-07-01,Humanitarian,Equipment,"According to the web archive of the ""Crisis Hub"" page on the Australian government website from July 21, 2024 (Source 1), the Australian government has allocated a total of 800,000 AUD to Ukraine's State Nuclear Regulatory Inspectorate through the IAEA to support the safe and secure operation of nuclear facilities. Source of Aid 2 is a report from the Australian Radiation Protection and Nuclear Safety Agency indicating that in July 2022 Australia delivered ""equipment relating to radiation safety through the International Atomic Energy Agency 's (IAEA) Convention on Assistance in the Case of a Nuclear Accident or Radiological Emergency"".",.,.,.,800000.0,538486.0,
Australia,2022-10-25,Humanitarian,Assistance,"AUD 27 million in additional humanitarian aid that will be provided over the next 5 years. Source of Aid 2 mentions AUD 213 million total additional help, of which AUD 186 million are military aid. We assume the remaining part of AUD 27 million is humintarian aid. ",.,.,.,27000000.0,17448946.0,
Australia,2023-06-26,Humanitarian,Contribution,"Of the AUD 110 million announced, AUD 10 million is for Ukraine's Humanitarian Fund, administered by the United Nations Office for the Coordination of Humanitarian Affairs. The fund helps meet shelter, health services, clean water and sanitation needs. Source of Aid 3 indicates the reported contributions to the UN Financial Tracking Services, used for cross-referencing the Australian commitment.",.,.,.,10000000.0,6189216.0,
Australia,2024-05-31,Humanitarian,Contribution,"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This package includes AUD 10 million in funding to the United Nations Office for Coordination of Humanitarian Affairs (OCHA) to increase access to essentials such as water, food and shelter in Ukraine. Source of Aid 3 restates this allocation. Source of Aid 4 reports the recorded financial contributions to UNOCHA by the Financial Tracking Services, used to cross-reference this Austrialian donation in 2024, as separate from the 2023.",.,.,.,10000000.0,6128492.0,
Australia,2024-05-31,Humanitarian,Contribution,"According to Sources 1 and 2, the Minister of Foreign Affairs announced  AUD 31 million in assistance to Ukraine's energy and humanitarian needs. This includes an allocation of AUD 1 million to the United Nations Partnership on the Rights of Persons with Disabilities to improve services for persons with disabilities in Ukraine, including those needing rehabilitation of combatants. Sources 3 and 4 restate this allocation.",.,.,.,1000000.0,612849.0,
