source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_sub_activity_value,tot_sub_activity_value_EUR,item_value_estimate_USD,item_value_estimate_deliv_USD
35000000.0,35000000.0,23417160.0,35000000.0,23417160.0,,
32600000.0,32600000.0,21811412.0,32600000.0,21811412.0,23030000.0,
12000000.0,12000000.0,8028741.0,12000000.0,8028741.0,,
10000000.0,10000000.0,6690617.0,10000000.0,6690617.0,,
8000000.0,8000000.0,5352494.0,8000000.0,5352494.0,,
800000.0,800000.0,538486.0,800000.0,538486.0,,
27000000.0,27000000.0,17448946.0,27000000.0,17448946.0,,
10000000.0,10000000.0,6189216.0,10000000.0,6189216.0,,
10000000.0,10000000.0,6128492.0,10000000.0,6128492.0,,
1000000.0,1000000.0,612849.0,1000000.0,612849.0,,
20000000.0,20000000.0,12256984.0,20000000.0,12256984.0,,
1000000.0,1000000.0,615106.0,1000000.0,615106.0,,
66000000.0,66000000.0,39930666.0,66000000.0,39930666.0,,
10000000.0,10000000.0,6050101.0,10000000.0,6050101.0,,
80000.0,80000.0,48401.0,80000.0,48401.0,,
3000000.0,3000000.0,2645059.0,3000000.0,2645059.0,,
70000000.0,70000000.0,46834320.0,70000000.0,46834320.0,,
21000000.0,21000000.0,14050296.0,21000000.0,14050296.0,,
25000000.0,25000000.0,16726543.0,25000000.0,16726543.0,,
25000000.0,,,,,,
25000000.0,,,,,,
25000000.0,,,,,,
25000000.0,,,,,,
49000000.0,49000000.0,33416606.0,49000000.0,33416606.0,33000000.0,33000000.0
26500000.0,26500000.0,18072246.0,26500000.0,18072246.0,442500.0,442500.0
26500000.0,,,,,,
26700000.0,26700000.0,18208640.0,26700000.0,18208640.0,31020000.0,31020000.0
26700000.0,,,,,,
60900000.0,60900000.0,40612799.0,60900000.0,40612799.0,795376.0,795376.0
60900000.0,,,,,33000000.0,33000000.0
79500000.0,79500000.0,53512017.0,79500000.0,53512017.0,33000000.0,33000000.0
79500000.0,,,,,795376.0,795376.0
79500000.0,,,,,,
79500000.0,,,,,,
8700000.0,8700000.0,5856032.0,8700000.0,5856032.0,,
20000000.0,20000000.0,13462143.0,20000000.0,13462143.0,,
,49500000.0,50378261.0,49500000.0,50378261.0,49500000.0,49500000.0
33000000.0,33000000.0,21271384.0,33000000.0,21271384.0,,
100000000.0,100000000.0,61892156.0,100000000.0,61892156.0,1590752.0,
100000000.0,,,,,700000.0,
100000000.0,,,,,9800000.0,
100000000.0,,,,,4900000.0,
100000000.0,,,,,,
,49500000.0,44763393.0,49500000.0,44763393.0,49500000.0,49500000.0
20000000.0,20000000.0,12021529.0,20000000.0,12021529.0,,
20000000.0,,,,,,
20000000.0,,,,,1000000.0,
20000000.0,,,,,,
50000000.0,50000000.0,30241848.0,50000000.0,30241848.0,,
30000000.0,30000000.0,18215568.0,30000000.0,18215568.0,,
15000000.0,15000000.0,9107784.0,15000000.0,9107784.0,,
15000000.0,,,,,,
15000000.0,,,,,,
15000000.0,,,,,,
15000000.0,,,,,,
50000000.0,50000000.0,30359280.0,50000000.0,30359280.0,,
5000000.0,5000000.0,3035928.0,5000000.0,3035928.0,,
250000000.0,250000000.0,153776620.0,250000000.0,153776620.0,,
250000000.0,,,,,,
250000000.0,,,,,,
250000000.0,,,,,,
250000000.0,,,,,,
250000000.0,,,,,,
250000000.0,,,,,,
250000000.0,,,,,,
245000000.0,245000000.0,150773265.0,245000000.0,150773265.0,504923566.0,
14000000.0,14000000.0,8606633.0,14000000.0,8606633.0,9297901.0,
8500000.0,8500000.0,4953834.0,,,,
8500000.0,8500000.0,4953834.0,,,,
,1181579.0,1041782.0,1181579.0,1041782.0,311550.0,
,,,,,108000.0,
,,,,,500000.0,
,,,,,12000.0,
,,,,,2600.0,
,,,,,100429.0,
,,,,,105000.0,
,,,,,42000.0,
54400000.0,54400000.0,54400000.0,,,,
,11430000.0,10817903.0,11430000.0,10817903.0,11430000.0,
625000000.0,625000000.0,625000000.0,,,,
200000000.0,,,200000000.0,200000000.0,,
350000000.0,,,350000000.0,350000000.0,,
75000000.0,,,75000000.0,75000000.0,,
,1817500.0,1835159.0,1817500.0,1835159.0,317500.0,
,,,,,1200000.0,
,,,,,300000.0,
5005199.0,5005199.0,5005199.0,5005199.0,5005199.0,,
5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,,
,5422500.0,5315513.0,5422500.0,5315513.0,2222500.0,
,,,,,3200000.0,
0.0,0.0,0.0,0.0,0.0,,
5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,,
5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,,
3147960.0,3147960.0,3147960.0,3147960.0,3147960.0,,
18000000.0,18000000.0,18000000.0,18000000.0,18000000.0,,
,1270000.0,1157943.0,1270000.0,1157943.0,1270000.0,
2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,
5000000.0,5000000.0,5000000.0,5000000.0,5000000.0,,
6000000.0,6000000.0,6000000.0,6000000.0,6000000.0,,
2000000.0,,,2000000.0,2000000.0,,
2000000.0,,,2000000.0,2000000.0,,
,800000.0,737729.0,800000.0,737729.0,800000.0,800000.0
8000000.0,8000000.0,8000000.0,8000000.0,8000000.0,,
170000.0,170000.0,170000.0,170000.0,170000.0,,
9000000.0,9000000.0,9000000.0,9000000.0,9000000.0,,
