Country Name,aid_type_general,aid_type_specific,reporting_currency,measure,source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_activity_value_constant_currency,tot_sub_activity_value,tot_sub_activity_value_EUR,tot_sub_activity_value_constant_currency,tot_sub_activity_value_constant_currency_redistr,tot_sub_activity_value_EUR_redistr,tot_value_deliv_EUR,Year,Country Code,"Armed forces personnel, total",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),Military expenditure (% of GDP),Military expenditure (current USD)
Australia,Humanitarian,Equipment,AUD,Allocation,35000000,35000000,23417159.978473667,21178148.983045366,35000000,23417159.978473667,21178148.983045366,21178148.983045366,23417159.978473667,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Humanitarian,Equipment,AUD,Allocation,32600000,32600000,21811411.865664043,19725933.0527794,32600000,21811411.865664043,19725933.0527794,19725933.0527794,21811411.865664043,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Humanitarian,Assistance,AUD,Allocation,12000000,12000000,8028740.564048114,7261079.65132984,12000000,8028740.564048114,7261079.65132984,7261079.65132984,8028740.564048114,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Humanitarian,Contribution,AUD,Allocation,10000000,10000000,6690617.136706762,6050899.709441533,10000000,6690617.136706762,6050899.709441533,6050899.709441533,6690617.136706762,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Humanitarian,Contribution,AUD,Allocation,8000000,8000000,5352493.70936541,4840719.767553227,8000000,5352493.70936541,4840719.767553227,4840719.767553227,5352493.70936541,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Humanitarian,Equipment,AUD,Allocation,800000,800000,538485.7012814678,486998.86824285646,800000,538485.7012814678,486998.86824285646,486998.86824285646,538485.7012814678,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Humanitarian,Assistance,AUD,Allocation,27000000,27000000,17448945.677462243,15780580.202469423,27000000,17448945.677462243,15780580.202469423,15780580.202469423,17448945.677462243,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Humanitarian,Contribution,AUD,Allocation,10000000,10000000,6189215.573191693,5637528.007140578,10000000,6189215.573191693,5637528.007140578,5637528.007140578,6189215.573191693,.,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Funding for Weapon Acquisition Program,USD,Allocation,3000000,3000000,2645059.4697537445,2198423.9129017624,3000000,2645059.4697537445,2198423.9129017624,2198423.9129017624,2645059.4697537445,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons and equipment,AUD,Allocation,70000000,70000000,46834319.956947334,42103093.411326714,70000000,46834319.956947334,42103093.411326714,42103093.411326714,46834319.956947334,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Assistance,AUD,Allocation,21000000,21000000,14050295.9870842,12630928.023398014,21000000,14050295.9870842,12630928.023398014,12630928.023398014,14050295.9870842,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Equipment,AUD,Allocation,25000000,25000000,16726542.841766905,15036819.075473825,25000000,16726542.841766905,15036819.075473825,15036819.075473825,16726542.841766905,.,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Equipment,AUD,Allocation,25000000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Equipment,AUD,Allocation,25000000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Equipment,AUD,Allocation,25000000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Equipment,AUD,Allocation,25000000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Equipment,AUD,Allocation,49000000,49000000,33416605.64816011,30040843.347085882,49000000,33416605.64816011,30040843.347085882,30040843.347085882,33416605.64816011,30040843.347085882,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons,AUD,Allocation,26500000,26500000,18072245.911760062,16246578.544852572,26500000,18072245.911760062,16246578.544852572,16246578.544852572,18072245.911760062,16246578.544852572,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons,AUD,Allocation,26500000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons,AUD,Allocation,26700000,26700000,18208640.220528062,16369194.231983533,26700000,18208640.220528062,16369194.231983533,16369194.231983533,18208640.220528062,16369194.231983533,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons,AUD,Allocation,26700000,,,,,,,,,,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
Australia,Military,Weapons,AUD,Allocation,60900000,60900000,40612799.185197756,36510073.795492075,60900000,40612799.185197756,36510073.795492075,36510073.795492075,40612799.185197756,36510073.795492075,2022,AUS,0.0,19000000.0,815000000.0,1.90833557385416,32445330432.014
